mechdef_blackpython_BP-X,MechPart,1,1
mechdef_blackpython_BP-S,MechPart,1,1
mechdef_roughneck_RGH-X1,MechPart,1,1
mechdef_roughneck_RGH-S1,MechPart,1,1
mechdef_roughneck_RGH-X2,MechPart,1,1
mechdef_roughneck_RGH-S2,MechPart,1,1
mechdef_grasshopper_GHR-X,MechPart,1,1
mechdef_grasshopper_GHR-S,MechPart,1,1
mechdef_catapult_CPLT-X1,MechPart,1,1
mechdef_catapult_CPLT-S1,MechPart,1,1
mechdef_catapult_CPLT-X2,MechPart,1,1
mechdef_catapult_CPLT-S2,MechPart,1,1
mechdef_lament_LMT-X,MechPart,1,1
mechdef_lament_LMT-S,MechPart,1,1
mechdef_linebacker_LBK-X1,MechPart,1,1
mechdef_linebacker_LBK-S1,MechPart,1,1
mechdef_linebacker_LBK-X2,MechPart,1,1
mechdef_linebacker_LBK-S2,MechPart,1,1
mechdef_linebacker_LBK-X3,MechPart,1,1
mechdef_linebacker_LBK-S3,MechPart,1,1
mechdef_champion_CHP-X,MechPart,1,1
mechdef_champion_CHP-S,MechPart,1,1
mechdef_dragon_DRG-X,MechPart,1,1
mechdef_dragon_DRG-S,MechPart,1,1
mechdef_granddragon_DRG-X,MechPart,1,1
mechdef_granddragon_DRG-S,MechPart,1,1
mechdef_lupus_LUPUS-X1,MechPart,1,1
mechdef_lupus_LUPUS-S1,MechPart,1,1
mechdef_lupus_LUPUS-X2,MechPart,1,1
mechdef_lupus_LUPUS-S2,MechPart,1,1
mechdef_merlin_MLN-X1,MechPart,1,1
mechdef_merlin_MLN-S1,MechPart,1,1
mechdef_merlin_MLN-X2,MechPart,1,1
mechdef_merlin_MLN-S2,MechPart,1,1
mechdef_ostroc_OSR-X,MechPart,1,1
mechdef_ostroc_OSR-S,MechPart,1,1
mechdef_ostsol_OTL-X,MechPart,1,1
mechdef_ostsol_OTL-S,MechPart,1,1
mechdef_ostsol_OTL-X,MechPart,1,1
mechdef_ostsol_OTL-S,MechPart,1,1
